"Dataset","Missing_Rate","Model","HSize","Method","Avg_NRMSE","SD_NRMSE","Avg_WNRMSE","SD_WNRMSE","Avg_CIIE","SD_CIIE","Avg_BIC","SD_BIC","Avg_ARI","SD_ARI","freq_num_cluster","freq_correct_variables","Avg_Run_Time","SD_Run_Time"
"Dataset_1",0,"Clustvarsel",2,"Clustvarsel",NA,NA,NA,NA,NA,NA,-29070.8728135283,0,0.9254,0,10,10,105.118,5.48603236511699
"Dataset_1",0,"SelvarClustLasso",2,"SelvarClustLasso",NA,NA,NA,NA,NA,NA,-57671.9528956294,1.952458785176e-09,0.9255,0,10,10,199.725,26.1243357172324
"Dataset_1",0.01,"Clustvarsel",2,"Clustvarsel",0.39016,0.0405942579409672,0.45675,0.0383555660164785,0.79198,0.0153567068228981,-29414.0465070183,946.098193773693,0.91341,0.00487406971180714,10,9,127.823,7.69305610419047
"Dataset_1",0.01,"SelvarClustLasso",2,"SelvarClustLasso",0.52168,0.0485706083964366,0.61399,0.050845221560689,0.73888,0.0198165363045894,-57639.4770387746,30.215835225126,0.91259,0.00474984210263877,10,10,228.27,13.1601764594721
"Dataset_1",0.05,"Clustvarsel",2,"Clustvarsel",0.43404,0.0198742267494584,0.4984,0.0187562137851848,0.73843,0.00900876733459629,-29866.0538012498,1267.84157490815,0.85342,0.00563516735431268,10,8,134.672,9.21002931591426
"Dataset_1",0.05,"SelvarClustLasso",2,"SelvarClustLasso",0.56693,0.0220989718212309,0.66372,0.0267145320419846,0.6897,0.0101608179898186,-57474.2114895239,59.831109687603,0.86075,0.00702965938798682,10,10,233.696,9.22293783033488
"Dataset_1",0.1,"Clustvarsel",2,"Clustvarsel",0.4752,0.0296547541626034,0.55284,0.0433994930845972,0.68657,0.0147512748978219,-29363.2063521995,32.1705334320282,0.7944,0.00832733117177674,10,10,133.096,10.054592317278
"Dataset_1",0.1,"SelvarClustLasso",2,"SelvarClustLasso",0.56401,0.0221781899872625,0.6563,0.0240469910337609,0.65492,0.01043400423828,-57131.1548686838,93.8857373041773,0.8009,0.00679346090819039,10,10,240.856,14.7257983748854
"Dataset_1",0.15,"Clustvarsel",2,"Clustvarsel",0.50211,0.032771411999553,0.59386,0.0440786720913112,0.63387,0.0186243001359932,-29350.7760031619,43.3206173251896,0.72453,0.0133077295834664,10,10,136.591,7.24971486029317
"Dataset_1",0.15,"SelvarClustLasso",2,"SelvarClustLasso",0.59082,0.031696680513195,0.70425,0.0408838259244682,0.55692,0.0574958897081638,-56688.4399892485,144.837224047561,0.65541,0.0989214553741166,9,10,246.217,14.561114922209
"Dataset_1",0.2,"Clustvarsel",2,"Clustvarsel",0.53917,0.0323940340872273,0.64229,0.0382758540074549,0.58716,0.0153342173658202,-29285.8690895316,48.990389339032,0.67138,0.0125303010516286,10,10,134.892,15.280733548419
"Dataset_1",0.2,"SelvarClustLasso",2,"SelvarClustLasso",0.59634,0.0280198025213122,0.70832,0.0332381240278221,0.55033,0.0321617111899642,-56069.4559593133,111.835943045964,0.6481,0.0433410762313176,10,10,248.85,19.6477581418339
"Dataset_2",0,"Clustvarsel",2,"Clustvarsel",NA,NA,NA,NA,NA,NA,-21535.4512101833,0,0.6488,0,10,0,607.781,30.6655769552767
"Dataset_2",0,"SelvarClustLasso",2,"SelvarClustLasso",NA,NA,NA,NA,NA,NA,-87465.4475037689,2.31726953685196e-07,0.812,0,10,10,226.216,13.6520044926255
"Dataset_2",0.01,"Clustvarsel",2,"Clustvarsel",0.16571,0.0115477222381251,0.19932,0.0175968936652657,0.77773,0.0328228595815647,-18745.1149604998,2392.74891108025,0.74003,0.055550458543962,10,0,694.685,72.8900034679349
"Dataset_2",0.01,"SelvarClustLasso",2,"SelvarClustLasso",0.27343,0.0353593002067506,0.32089,0.0361817771813381,0.74464,0.0644230497053138,-87308.132869692,41.0849449905087,0.75672,0.0898391377221903,7,10,305.215,23.1882433094398
"Dataset_2",0.05,"Clustvarsel",2,"Clustvarsel",0.16649,0.0089159594735134,0.19379,0.00859799072135138,0.76953,0.0306195308041561,-20768.8512541612,3422.53774644756,0.72686,0.0535391902151021,10,0,675.812,65.4344049496219
"Dataset_2",0.05,"SelvarClustLasso",2,"SelvarClustLasso",0.26394,0.0184230049424927,0.31011,0.0149565630335909,0.77052,0.0434933404864086,-86440.5332316135,70.8970739808691,0.79352,0.061332731881109,9,10,297.309,39.2603584208465
"Dataset_2",0.1,"Clustvarsel",2,"Clustvarsel",0.17663,0.0101290615996196,0.20491,0.0113524789265507,0.74922,0.059626202293958,-21665.0640969739,4891.98200020065,0.69977,0.0991943216340756,9,0,683.593,43.1971308332188
"Dataset_2",0.1,"SelvarClustLasso",2,"SelvarClustLasso",0.27798,0.0239887844164263,0.32685,0.023218491194161,0.75239,0.0542708321497121,-85602.778292251,287.546428619241,0.77261,0.0769987943628557,8,10,292.927,23.1324236372528
"Dataset_2",0.15,"Clustvarsel",2,"Clustvarsel",0.19473,0.0100600474927087,0.22277,0.00913990639388002,0.61191,0.0736972402619136,-31129.5067331554,8955.22880634441,0.48297,0.120554607727969,6,0,593.553,96.804413243061
"Dataset_2",0.15,"SelvarClustLasso",2,"SelvarClustLasso",0.28989,0.00800145125725467,0.34515,0.0124192726571782,0.75476,0.0387948793871906,-84467.3036485139,535.556045911196,0.78454,0.0624226490235004,9,10,296.929,20.0615826616169
"Dataset_2",0.2,"Clustvarsel",2,"Clustvarsel",0.20654,0.00422116360998034,0.2367,0.0028759539480164,0.57024,0.022872895167279,-35315.8373079084,5458.58608604997,0.42143,0.0379695214027719,7,0,557.456,68.4219063685828
"Dataset_2",0.2,"SelvarClustLasso",2,"SelvarClustLasso",0.305,0.0145323284930039,0.35755,0.0131703129369481,0.75575,0.00795002246178317,-83023.4232119979,139.52519300169,0.7962875,0.00479834420845951,8,8,312.34625,41.8155924224787
